id_OTF,NameOTF,id_DTF,NameDTF,combined,OTF_Cluster,DTF_Cluster
2,Техническое руководство процессами разработки и реализации проекта металлических конструкций зданий и сооружений промышленного и гражданского назначения,11,Разработка специальных технических условий на проектирование конструктивных решений металлических конструкций зданий и сооружений,Техническое руководство процессами разработки и реализации проекта металлических конструкций зданий и сооружений промышленного и гражданского назначения Разработка специальных технических условий на проектирование конструктивных решений металлических конструкций зданий и сооружений,3,10
2,Техническое руководство процессами разработки и реализации проекта металлических конструкций зданий и сооружений промышленного и гражданского назначения,8,Формирование технического задания и контроль разработки проекта металлических конструкций зданий и сооружений,Техническое руководство процессами разработки и реализации проекта металлических конструкций зданий и сооружений промышленного и гражданского назначения Формирование технического задания и контроль разработки проекта металлических конструкций зданий и сооружений,3,3
3,Разработка и оформление рабочей документации на строительство подземных инженерных коммуникаций с применением бестраншейных технологий,13,"Комплектование, нормоконтроль и подготовка к выпуску рабочей документации на строительство подземных инженерных коммуникаций с применением бестраншейных технологий","Разработка и оформление рабочей документации на строительство подземных инженерных коммуникаций с применением бестраншейных технологий Комплектование, нормоконтроль и подготовка к выпуску рабочей документации на строительство подземных инженерных коммуникаций с применением бестраншейных технологий",12,4
3,Разработка и оформление рабочей документации на строительство подземных инженерных коммуникаций с применением бестраншейных технологий,12,"Разработка рабочих чертежей и спецификаций оборудования, изделий и материалов в составе комплекта рабочей документации на строительство подземных инженерных коммуникаций с применением бестраншейных технологий","Разработка и оформление рабочей документации на строительство подземных инженерных коммуникаций с применением бестраншейных технологий Разработка рабочих чертежей и спецификаций оборудования, изделий и материалов в составе комплекта рабочей документации на строительство подземных инженерных коммуникаций с применением бестраншейных технологий",12,5
4,Разработка проектной и рабочей документации на строительство подземных инженерных коммуникаций с применением бестраншейных технологий,14,Подготовка исходно-разрешительной и организационно-технической документации для проектирования подземных инженерных коммуникаций с применением бестраншейных технологий,Разработка проектной и рабочей документации на строительство подземных инженерных коммуникаций с применением бестраншейных технологий Подготовка исходно-разрешительной и организационно-технической документации для проектирования подземных инженерных коммуникаций с применением бестраншейных технологий,12,5
4,Разработка проектной и рабочей документации на строительство подземных инженерных коммуникаций с применением бестраншейных технологий,15,Разработка и оформление обосновывающей технической документации для проектирования подземных инженерных коммуникаций с применением бестраншейных технологий,Разработка проектной и рабочей документации на строительство подземных инженерных коммуникаций с применением бестраншейных технологий Разработка и оформление обосновывающей технической документации для проектирования подземных инженерных коммуникаций с применением бестраншейных технологий,12,5
4,Разработка проектной и рабочей документации на строительство подземных инженерных коммуникаций с применением бестраншейных технологий,17,"Разработка, детализация и подготовка к выпуску рабочей документации на строительство подземных инженерных коммуникаций с применением бестраншейных технологий","Разработка проектной и рабочей документации на строительство подземных инженерных коммуникаций с применением бестраншейных технологий Разработка, детализация и подготовка к выпуску рабочей документации на строительство подземных инженерных коммуникаций с применением бестраншейных технологий",12,4
4,Разработка проектной и рабочей документации на строительство подземных инженерных коммуникаций с применением бестраншейных технологий,16,"Разработка, корректировка и подготовка к выпуску текстовой и графической части проектной документации на строительство подземных инженерных коммуникаций с применением бестраншейных технологий","Разработка проектной и рабочей документации на строительство подземных инженерных коммуникаций с применением бестраншейных технологий Разработка, корректировка и подготовка к выпуску текстовой и графической части проектной документации на строительство подземных инженерных коммуникаций с применением бестраншейных технологий",12,4
5,Техническое руководство процессами разработки и применения проектной и рабочей документации на строительство подземных инженерных коммуникаций с применением бестраншейных технологий,22,Организация и контроль создания проектной информационной модели объекта бестраншейного строительства,Техническое руководство процессами разработки и применения проектной и рабочей документации на строительство подземных инженерных коммуникаций с применением бестраншейных технологий Организация и контроль создания проектной информационной модели объекта бестраншейного строительства,12,1
5,Техническое руководство процессами разработки и применения проектной и рабочей документации на строительство подземных инженерных коммуникаций с применением бестраншейных технологий,20,Осуществление авторского надзора за соблюдением утвержденных проектных решений строительства подземных инженерных коммуникаций с применением бестраншейных технологий,Техническое руководство процессами разработки и применения проектной и рабочей документации на строительство подземных инженерных коммуникаций с применением бестраншейных технологий Осуществление авторского надзора за соблюдением утвержденных проектных решений строительства подземных инженерных коммуникаций с применением бестраншейных технологий,12,2
5,Техническое руководство процессами разработки и применения проектной и рабочей документации на строительство подземных инженерных коммуникаций с применением бестраншейных технологий,18,Разработка концепции конструктивной схемы и основных технических решений по строительству подземных инженерных коммуникаций с применением бестраншейных технологий,Техническое руководство процессами разработки и применения проектной и рабочей документации на строительство подземных инженерных коммуникаций с применением бестраншейных технологий Разработка концепции конструктивной схемы и основных технических решений по строительству подземных инженерных коммуникаций с применением бестраншейных технологий,12,10
5,Техническое руководство процессами разработки и применения проектной и рабочей документации на строительство подземных инженерных коммуникаций с применением бестраншейных технологий,21,Разработка специальных технических условий на проектирование конструктивных решений строительства подземных инженерных коммуникаций с применением бестраншейных технологий,Техническое руководство процессами разработки и применения проектной и рабочей документации на строительство подземных инженерных коммуникаций с применением бестраншейных технологий Разработка специальных технических условий на проектирование конструктивных решений строительства подземных инженерных коммуникаций с применением бестраншейных технологий,12,10
5,Техническое руководство процессами разработки и применения проектной и рабочей документации на строительство подземных инженерных коммуникаций с применением бестраншейных технологий,19,"Формирование технического задания и контроль разработки проектной и рабочей документации на строительство подземных инженерных коммуникаций с применением бестраншейных технологий, прохождение государственной или независимой экспертизы","Техническое руководство процессами разработки и применения проектной и рабочей документации на строительство подземных инженерных коммуникаций с применением бестраншейных технологий Формирование технического задания и контроль разработки проектной и рабочей документации на строительство подземных инженерных коммуникаций с применением бестраншейных технологий, прохождение государственной или независимой экспертизы",12,5
6,Разработка и оформление рабочей документации системы электропривода,24,Подготовка к выпуску рабочей документации системы электропривода,Разработка и оформление рабочей документации системы электропривода Подготовка к выпуску рабочей документации системы электропривода,11,4
6,Разработка и оформление рабочей документации системы электропривода,23,Разработка текстовой и графической частей рабочей документации системы электропривода,Разработка и оформление рабочей документации системы электропривода Разработка текстовой и графической частей рабочей документации системы электропривода,11,8
7,Разработка проекта системы электропривода,27,Подготовка к выпуску проекта системы электропривода,Разработка проекта системы электропривода Подготовка к выпуску проекта системы электропривода,2,4
7,Разработка проекта системы электропривода,26,Подготовка текстовой и графической частей эскизного и технического проектов системы электропривода,Разработка проекта системы электропривода Подготовка текстовой и графической частей эскизного и технического проектов системы электропривода,2,8
7,Разработка проекта системы электропривода,25,Предпроектное обследование оборудования и подготовка технико-экономического обоснования создания системы электропривода,Разработка проекта системы электропривода Предпроектное обследование оборудования и подготовка технико-экономического обоснования создания системы электропривода,2,4
8,Техническое руководство процессами разработки и реализации проекта системы электропривода,29,Контроль разработки проекта системы электропривода,Техническое руководство процессами разработки и реализации проекта системы электропривода Контроль разработки проекта системы электропривода,2,4
8,Техническое руководство процессами разработки и реализации проекта системы электропривода,30,Осуществление авторского надзора за соблюдением утвержденных проектных решений проектной документации системы электропривода,Техническое руководство процессами разработки и реализации проекта системы электропривода Осуществление авторского надзора за соблюдением утвержденных проектных решений проектной документации системы электропривода,2,2
8,Техническое руководство процессами разработки и реализации проекта системы электропривода,31,Осуществление мероприятий по защите авторских прав на проектные решения системы электропривода,Техническое руководство процессами разработки и реализации проекта системы электропривода Осуществление мероприятий по защите авторских прав на проектные решения системы электропривода,2,5
8,Техническое руководство процессами разработки и реализации проекта системы электропривода,28,Разработка концепции и формирование технического задания на проектирование системы электропривода,Техническое руководство процессами разработки и реализации проекта системы электропривода Разработка концепции и формирование технического задания на проектирование системы электропривода,2,4
9,Разработка и оформление рабочей документации строительных конструкций из металлических тонкостенных профилей (чертежи марки КМ и КМД) зданий и сооружений,33,Подготовка к выпуску рабочей документации строительных конструкций из металлических тонкостенных профилей (чертежи марки КМ и КМД) зданий и сооружений,Разработка и оформление рабочей документации строительных конструкций из металлических тонкостенных профилей (чертежи марки КМ и КМД) зданий и сооружений Подготовка к выпуску рабочей документации строительных конструкций из металлических тонкостенных профилей (чертежи марки КМ и КМД) зданий и сооружений,8,3
9,Разработка и оформление рабочей документации строительных конструкций из металлических тонкостенных профилей (чертежи марки КМ и КМД) зданий и сооружений,32,Разработка рабочих чертежей и спецификаций в составе комплекта рабочей документации строительных конструкций из металлических тонкостенных профилей (чертежи марки КМ и КМД) зданий и сооружений,Разработка и оформление рабочей документации строительных конструкций из металлических тонкостенных профилей (чертежи марки КМ и КМД) зданий и сооружений Разработка рабочих чертежей и спецификаций в составе комплекта рабочей документации строительных конструкций из металлических тонкостенных профилей (чертежи марки КМ и КМД) зданий и сооружений,8,3
9,Разработка и оформление рабочей документации строительных конструкций из металлических тонкостенных профилей (чертежи марки КМ и КМД) зданий и сооружений,34,Формирование элементов строительных конструкций из металлических тонкостенных профилей в качестве компонентов для информационной модели объекта капитального строительства,Разработка и оформление рабочей документации строительных конструкций из металлических тонкостенных профилей (чертежи марки КМ и КМД) зданий и сооружений Формирование элементов строительных конструкций из металлических тонкостенных профилей в качестве компонентов для информационной модели объекта капитального строительства,8,3
10,Разработка проекта строительных конструкций из металлических тонкостенных профилей зданий и сооружений,35,Выполнение расчетов строительных конструкций из металлических тонкостенных профилей зданий и сооружений,Разработка проекта строительных конструкций из металлических тонкостенных профилей зданий и сооружений Выполнение расчетов строительных конструкций из металлических тонкостенных профилей зданий и сооружений,8,3
10,Разработка проекта строительных конструкций из металлических тонкостенных профилей зданий и сооружений,37,Подготовка к выпуску проекта строительных конструкций из металлических тонкостенных профилей зданий и сооружений,Разработка проекта строительных конструкций из металлических тонкостенных профилей зданий и сооружений Подготовка к выпуску проекта строительных конструкций из металлических тонкостенных профилей зданий и сооружений,8,3
10,Разработка проекта строительных конструкций из металлических тонкостенных профилей зданий и сооружений,36,Разработка текстовой и графической частей (чертежи КМ) проектной документации строительных конструкций из металлических тонкостенных профилей зданий и сооружений,Разработка проекта строительных конструкций из металлических тонкостенных профилей зданий и сооружений Разработка текстовой и графической частей (чертежи КМ) проектной документации строительных конструкций из металлических тонкостенных профилей зданий и сооружений,8,3
10,Разработка проекта строительных конструкций из металлических тонкостенных профилей зданий и сооружений,38,Формирование информационной модели каркаса здания или сооружения с применением строительных конструкций из металлических тонкостенных профилей,Разработка проекта строительных конструкций из металлических тонкостенных профилей зданий и сооружений Формирование информационной модели каркаса здания или сооружения с применением строительных конструкций из металлических тонкостенных профилей,8,3
11,Техническое руководство процессами разработки и реализации проекта строительных конструкций из металлических тонкостенных профилей зданий и сооружений,41,Организация и контроль формирования информационной модели каркаса здания или сооружения с применением строительных конструкций из металлических тонкостенных профилей,Техническое руководство процессами разработки и реализации проекта строительных конструкций из металлических тонкостенных профилей зданий и сооружений Организация и контроль формирования информационной модели каркаса здания или сооружения с применением строительных конструкций из металлических тонкостенных профилей,8,3
11,Техническое руководство процессами разработки и реализации проекта строительных конструкций из металлических тонкостенных профилей зданий и сооружений,42,Осуществление авторского надзора за соблюдением утвержденных проектных решений проектной документации строительных конструкций из металлических тонкостенных профилей зданий и сооружений,Техническое руководство процессами разработки и реализации проекта строительных конструкций из металлических тонкостенных профилей зданий и сооружений Осуществление авторского надзора за соблюдением утвержденных проектных решений проектной документации строительных конструкций из металлических тонкостенных профилей зданий и сооружений,8,2
11,Техническое руководство процессами разработки и реализации проекта строительных конструкций из металлических тонкостенных профилей зданий и сооружений,39,Разработка концепции конструктивной схемы и основных технических решений здания или сооружения с применением строительных конструкций из металлических тонкостенных профилей,Техническое руководство процессами разработки и реализации проекта строительных конструкций из металлических тонкостенных профилей зданий и сооружений Разработка концепции конструктивной схемы и основных технических решений здания или сооружения с применением строительных конструкций из металлических тонкостенных профилей,8,3
11,Техническое руководство процессами разработки и реализации проекта строительных конструкций из металлических тонкостенных профилей зданий и сооружений,43,Разработка специальных технических условий на проектирование конструктивных решений строительных конструкций из металлических тонкостенных профилей зданий и сооружений,Техническое руководство процессами разработки и реализации проекта строительных конструкций из металлических тонкостенных профилей зданий и сооружений Разработка специальных технических условий на проектирование конструктивных решений строительных конструкций из металлических тонкостенных профилей зданий и сооружений,8,10
11,Техническое руководство процессами разработки и реализации проекта строительных конструкций из металлических тонкостенных профилей зданий и сооружений,40,Формирование технического задания и контроль разработки проекта строительных конструкций из металлических тонкостенных профилей зданий и сооружений,Техническое руководство процессами разработки и реализации проекта строительных конструкций из металлических тонкостенных профилей зданий и сооружений Формирование технического задания и контроль разработки проекта строительных конструкций из металлических тонкостенных профилей зданий и сооружений,8,3
12,Разработка и оформление рабочей документации системы водоснабжения и водоотведения объекта капитального строительства,45,Подготовка к выпуску рабочей документации системы водоснабжения и водоотведения объекта капитального строительства,Разработка и оформление рабочей документации системы водоснабжения и водоотведения объекта капитального строительства Подготовка к выпуску рабочей документации системы водоснабжения и водоотведения объекта капитального строительства,11,4
